Employment_Sector;Education_Level;Years_at_Residence;Income_Fluctuations;Cash_Flow_Stability;Recurring_Expenses;Utility_Payments_On_Time;Rental_History_On_Time;Subscription_Payments;Spending_Patterns;Real_Time_Transactions;E_Commerce_Activity;Local_Job_Market_Stability;Inflation_Impact;Economic_Downturn_Resilience
Finance;PhD;23;0,329157322;2499,644072;34,98632975;84,97982665;82,18599032;75,72262172;64,41902031;1;3208,378551;7,799485993;4,346741038;1,039230527
Education;PhD;12;0,483307831;1739,965726;59,24960926;92,64631919;63,85721759;66,54959738;77,39655889;3;4086,296345;9,342638081;3,689227577;1,293766807
Retail;PhD;17;1,399644546;3299,178031;57,15434192;55,79115411;72,48384886;91,87254474;28,27772607;1;2801,207319;8,116566027;8,725204496;0,766228286
Education;PhD;8;1,046375186;4965,990302;39,926587;85,29781183;67,2632276;65,49328247;79,31419223;4;1275,018263;2,623578262;9,987502843;1,103291511
Education;PhD;11;0,794466974;2238,454279;75,68611013;75,18443047;58,63783781;75,37545472;12,66585596;2;1312,75115;13,46662642;6,666771108;1,168900106
Healthcare;High School;29;0,117800846;3082,285643;70,69173965;91,45753201;81,0990395;70,06262916;83,02299083;9;196,2652654;7,777119646;8,156266503;1,155024696
Retail;PhD;3;1,489381561;2370,217532;33,43895275;75,40708593;94,09877776;92,7539193;19,46897823;1;1527,221133;9,656267431;8,035712729;0,945849634
Retail;High School;27;1,040036909;4312,722505;34,34855273;81,01206771;97,95421211;71,59592656;61,66073424;8;3723,018395;3,809441436;4,198057374;0,846577988
Retail;PhD;6;0,543691468;4560,063816;50,73802081;73,88710632;59,61731816;69,30495944;30,00659751;4;237,588786;2,044042024;6,168433422;1,335924073
Education;Master's;9;1,330976124;4448,100255;66,4143261;73,90794618;85,8686387;84,49118464;76,92419129;9;1096,476413;5,188771217;8,497512471;1,258445957
Finance;Bachelor's;6;0,461804268;4884,675074;22,64242276;88,3984989;83,21696833;80,12205549;50,98402887;4;3531,162493;11,15961842;7,193024886;0,821255173
Retail;High School;9;0,861623211;623,8363331;61,60010922;81,42832003;67,16888948;55,36234167;20,8192953;0;3913,257814;3,289528891;1,190474326;0,603019194
Education;PhD;7;0,990499069;4279,17273;58,89415384;81,66316008;50,95495997;75,40844032;55,67932571;5;2276,59205;13,81553673;4,03035102;0,571807545
