Employment_Sector,Education_Level,Years_at_Residence,Income_Fluctuations,Cash_Flow_Stability,Recurring_Expenses,Utility_Payments_On_Time,Rental_History_On_Time,Subscription_Payments,Spending_Patterns,Real_Time_Transactions,E_Commerce_Activity,Local_Job_Market_Stability,Inflation_Impact,Economic_Downturn_Resilience
0.9,0.7,2,14786.3404,1.26085,640,0.09072,0.36171,458,3742.77655,35,699.5664,0.18528,1.21323,0.10312
0.4,0.4,24,36153.507,0.56236,1463,0.03262,0.94921,378,3098.50848,46,567.85025,0.03993,1.57296,0.54778
0.7,0.4,8,16576.41962,0.72251,872,0.0577,0.63216,499,619.06049,26,981.49098,0.15672,1.16944,0.97896
0.8,0.1,11,39275.95767,1.97995,4135,0.44437,0.12994,483,842.68992,5,266.03902,0.19785,2.4729,0.5555
0.5,1.0,13,20106.87375,1.94768,3041,0.27555,0.56009,98,559.40891,29,433.77898,0.18223,1.93337,0.18982
0.7,0.7,17,15463.53747,0.50741,4110,0.62204,0.78073,341,2928.14664,37,565.41851,0.1373,2.14706,0.58218
0.9,0.1,8,33690.95521,1.92772,2192,0.99244,0.70849,431,4397.97836,20,802.11499,0.07653,1.13077,0.20444
0.7,0.1,21,29761.23327,1.45868,605,0.38632,0.17209,373,2225.62251,49,571.39672,0.06578,1.05056,0.5197
0.9,0.4,18,24945.87149,1.80188,2181,0.57384,0.97242,127,888.15605,21,632.25515,0.16747,1.72094,0.07404
0.7,0.7,30,26660.90653,1.18211,4597,0.4156,0.44881,154,2834.40739,10,264.8397,0.17837,2.34391,0.60548
0.4,0.7,18,31576.05335,1.27339,4516,0.84727,0.15903,218,4077.58586,5,854.57279,0.11458,1.8131,0.51679
0.6,0.7,46,16853.64224,1.23327,3136,0.90224,0.1802,266,3734.3891,36,457.19902,0.06398,0.58161,0.74016
0.4,0.4,47,39890.01748,1.5003,2637,0.87736,0.09823,427,4419.10882,6,183.91165,0.04033,2.67138,0.6307
0.4,0.4,31,39243.79486,0.70948,3916,0.97437,0.80352,168,1461.72028,26,680.97852,0.03569,0.66172,0.54961
0.6,0.4,38,29509.77059,0.54496,4945,0.02752,0.12203,239,1050.37395,4,255.28593,0.14943,2.88956,0.68978
0.6,0.4,32,15986.27353,0.96189,4030,0.83982,0.12513,304,4411.10078,39,142.68438,0.09562,0.56285,0.14394
0.2,0.4,11,30406.84727,1.55702,1786,0.75177,0.85047,419,3322.04553,39,868.88756,0.18296,2.23613,0.59536
0.2,1.0,45,12165.95227,0.80278,3679,0.22869,0.3446,315,1623.55176,50,487.15415,0.15314,0.70552,0.17211
0.8,1.0,25,10919.57507,1.51015,4154,0.95632,0.03086,198,3737.50545,35,761.81953,0.05443,2.77669,0.92552
0.5,0.7,33,17730.48666,1.95487,2859,0.14818,0.0519,213,4094.08008,1,326.05818,0.13048,1.66108,0.06833
0.5,0.1,38,23878.6887,0.64085,944,0.67955,0.14217,189,3113.39338,24,797.62163,0.09839,0.84381,0.43037
0.8,0.7,41,36048.17516,1.5089,535,0.22489,0.21339,396,3470.63214,36,156.33913,0.1239,1.35204,0.6958
0.4,0.1,8,31815.07209,1.16563,1975,0.43138,0.66515,307,1938.77353,6,388.17471,0.15285,0.91206,0.45802
0.4,0.4,11,32281.19564,1.80221,4457,0.71916,0.15733,423,2739.60877,41,979.15873,0.16512,0.92645,0.0921
0.9,0.1,22,22764.80003,0.76572,2298,0.56332,0.11887,318,2668.37994,46,804.29023,0.17187,2.87027,0.55338
0.9,0.7,24,20378.04978,1.53894,2345,0.4275,0.76472,230,4255.43418,44,522.39313,0.06572,1.61312,0.64163
0.5,0.7,41,21131.16289,1.75717,1908,0.32634,0.67106,209,4215.8235,31,372.7886,0.0256,2.47201,0.70379
0.8,0.1,17,39629.48691,1.91692,2208,0.83966,0.43532,400,4180.1343,20,878.52892,0.15307,2.09901,0.37326
0.3,1.0,12,11203.27574,1.52487,3438,0.14381,0.54931,449,154.05491,24,567.60537,0.03914,2.19107,0.56366
0.2,0.4,46,36010.94488,1.24576,1800,0.4301,0.31198,337,3772.77287,25,770.50377,0.07669,0.82923,0.45069
0.3,0.4,32,27360.26226,1.42677,1743,0.90376,0.4825,337,3817.51431,36,766.4023,0.02069,1.08546,0.67206
0.8,0.7,15,23158.46258,1.80336,4476,0.84585,0.50667,429,3424.05623,21,67.04839,0.1427,2.46688,0.58356
0.9,1.0,16,31757.72981,1.35591,3597,0.40094,0.38724,275,3805.69682,30,169.94109,0.05008,2.92692,0.52576
0.5,0.1,22,24600.06824,0.54558,509,0.76311,0.90657,60,4225.65482,24,676.6479,0.13795,1.15669,0.24952
0.5,0.4,28,36202.69714,1.89642,2925,0.82316,0.01606,59,2404.56337,44,203.53882,0.19851,1.17892,0.00202
0.9,1.0,20,37021.05592,1.53429,2160,0.88889,0.78217,320,2560.04605,42,292.71868,0.03308,1.68224,0.17408
0.3,0.4,33,22651.62781,1.51477,3131,0.54451,0.12438,322,711.09888,30,949.30606,0.03387,2.9596,0.11707
